Date,IBM,T,NKE,AAPL
6/3/15,169.919998,35.029999,102.510002,130.119995
6/2/15,169.649994,34.360001,102.110001,129.960007
6/1/15,170.179993,34.349998,101.760002,130.539993
5/29/15,169.649994,34.540001,101.669998,130.279999
5/28/15,171.710007,34.799999,102.300003,131.779999
5/27/15,172,34.950001,102.839996,132.039993
5/26/15,170.130005,34.669998,103.419998,129.619995
5/22/15,172.220001,34.709999,104.43,132.539993
5/21/15,173.339996,35.07,104.400002,131.389999
5/20/15,173.759995,34.619999,104.610001,130.059998
5/19/15,173.479996,34.369999,104.639999,130.070007
5/18/15,173.059998,34.869999,104.75,130.190002
5/15/15,173.259995,34.330002,104.980003,128.770004
5/14/15,174.050003,34.130001,103.440002,128.949997
5/13/15,172.279999,33.900002,102.160004,126.010002
5/12/15,170.550003,33.66,102.370003,125.870003
5/11/15,171.119995,33.490002,102.790001,126.32
5/8/15,172.679993,33.689999,102.440002,127.620003
5/7/15,170.990005,33.369999,101.449997,125.260002
5/6/15,170.050003,33.380001,100.220001,125.010002
5/5/15,173.080002,33.720001,100.419998,125.800003
5/4/15,173.970001,34.529999,100.830002,128.699997
5/1/15,173.669998,34.419998,100.779999,128.949997
4/30/15,171.289993,34.639999,98.839996,125.150002
4/29/15,174.399994,34.759998,100.169998,128.639999
4/28/15,173.919998,34.860001,99.860001,130.559998
4/27/15,170.729996,34.09,100.940002,132.649994
4/24/15,169.779999,34.009998,100.949997,130.279999
4/23/15,170.240005,34.23,101.110001,129.669998
4/22/15,165.360001,32.860001,100.150002,128.619995
4/21/15,164.259995,32.66,100.290001,126.910004
4/20/15,166.160004,32.830002,99.989998,127.599998
4/17/15,160.669998,32.509998,98.550003,124.75
4/16/15,163.130005,32.75,99.900002,126.169998
4/15/15,164.130005,32.889999,99.830002,126.779999
4/14/15,162.300003,32.689999,99.529999,126.300003
4/13/15,162.380005,32.880001,99.269997,126.849998
4/10/15,162.860001,32.77,99.970001,127.099998
4/9/15,162.339996,32.689999,100.720001,126.559998
4/8/15,161.850006,32.650002,100.839996,125.599998
4/7/15,162.070007,33.16,99.610001,126.010002
4/6/15,162.039993,33.330002,99.730003,127.349998
4/2/15,160.449997,33.130001,99.660004,125.32
4/1/15,159.179993,32.889999,99.550003,124.25
3/31/15,160.5,32.650002,100.330002,124.43
3/30/15,162.669998,32.970001,100.889999,126.370003
3/27/15,160.399994,32.75,99.879997,123.25
3/26/15,160.589996,32.82,99.330002,124.239998
3/25/15,159.199997,32.619999,98.989998,123.379997
3/24/15,163,33.07,100.650002,126.690002
3/23/15,164.630005,33.279999,101.459999,127.209999
3/20/15,162.880005,33.23,101.980003,125.900002
3/19/15,159.809998,33.200001,98.32,127.5
3/18/15,159.809998,33.59,97.510002,128.470001
3/17/15,156.960007,32.900002,96.540001,127.040001
3/16/15,157.080002,33.060001,96.440002,124.949997
3/13/15,154.279999,32.759998,95.809998,123.589996
3/12/15,157.979996,33.130001,97.040001,124.449997
3/11/15,156.800003,32.619999,95.339996,122.239998
3/10/15,157.809998,32.779999,96.510002,124.510002
3/9/15,160.770004,33.349998,97.43,127.139999
3/6/15,158.5,33.48,96.910004,126.599998
3/5/15,161.179993,34,98.459999,126.410004
3/4/15,159.419998,34,97.519997,128.539993
3/3/15,161.029999,34.41,97.970001,129.360001
3/2/15,160.479996,34.639999,98.75,129.089996
2/27/15,161.940002,34.560001,97.120003,128.460007
2/26/15,160.869995,34.5,96.989998,130.419998
2/25/15,162.809998,34.209999,96.82,128.789993
2/24/15,164.830002,34.049999,95.419998,132.169998
2/23/15,162.910004,33.849998,95.010002,133
2/20/15,163.649994,34.080002,94.93,129.5
2/19/15,163.889999,34.09,93.699997,128.449997
2/18/15,162.190002,34.490002,93.620003,128.720001
2/17/15,160.960007,34.709999,91.860001,127.830002
2/13/15,160.399994,34.66,92.040001,127.080002
2/12/15,158.520004,34.610001,92,126.459999
2/11/15,158.199997,34.389999,91.309998,124.879997
2/10/15,158.559998,34.849998,92.75,122.019997
2/9/15,155.75,34.639999,91.169998,119.720001
2/6/15,156.720001,34.869999,91.790001,118.93
2/5/15,157.910004,34.540001,93.339996,119.940002
2/4/15,156.960007,34.41,92.540001,119.559998
2/3/15,158.470001,34.34,93.349998,118.650002
2/2/15,154.660004,33.560001,91.919998,118.629997
1/30/15,153.309998,32.919998,92.25,117.160004
1/29/15,155.479996,32.959999,94.870003,118.900002
1/28/15,151.550003,32.68,93.309998,115.309998
1/27/15,153.669998,32.810001,94.5,109.139999
1/26/15,156.360001,33.18,96.349998,113.099998
1/23/15,155.869995,33.369999,96.160004,112.980003
1/22/15,155.389999,33.790001,95.849998,112.400002
1/21/15,152.089996,34,93.510002,109.550003
1/20/15,156.949997,33.950001,93.610001,108.720001
1/16/15,157.139999,33.799999,92.989998,105.989998
1/15/15,154.570007,33.259998,92.809998,106.82
1/14/15,155.800003,33.330002,93.709999,109.800003
1/13/15,156.809998,33.490002,95.010002,110.220001
1/12/15,156.440002,33.490002,95.860001,109.25
1/9/15,159.110001,33.400002,95.989998,112.010002
1/8/15,158.419998,33.5,97.059998,111.889999
1/7/15,155.050003,33.169998,94.870003,107.75
1/6/15,156.070007,33.599998,92.949997,106.260002
1/5/15,159.509995,33.549999,93.5,106.25
1/2/15,162.059998,33.869999,95.029999,109.330002
12/31/14,160.440002,33.59,96.150002,110.379997
12/30/14,160.050003,34.080002,96.879997,112.519997
12/29/14,160.509995,34.110001,97.300003,113.910004
12/26/14,162.339996,34.169998,96.830002,113.989998
12/24/14,161.820007,33.959999,96.290001,112.010002
12/23/14,162.240005,34.029999,95.970001,112.540001
